top - 13:08:13 up 2 days,  3:34,  1 user,  load average: 0.71, 1.30, 1.15
Tasks: 394 total,   1 running, 393 sleeping,   0 stopped,   0 zombie
%Cpu(s):  9.0 us,  3.5 sy,  0.0 ni, 86.4 id,  0.0 wa,  0.0 hi,  1.0 si,  0.0 st
MiB Mem :  15767.8 total,    783.3 free,   5477.5 used,   9507.0 buff/cache
MiB Swap:  32768.0 total,  32765.5 free,      2.5 used.   8708.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   4468 abhishe+  20   0   33.0g 512532 254500 S  16.7   3.2  31:47.50 chrome
 950434 abhishe+  20   0  754784  43596  31920 S  16.7   0.3   0:00.12 terrafo+
  12057 abhishe+  20   0   32.7g 138492  85852 S   8.3   0.9  22:13.21 code
  37384 abhishe+  20   0   54.5g 265908  99420 S   8.3   1.6  26:15.01 code
 838355 abhishe+  20   0 1012044  78644  48708 S   8.3   0.5   0:06.39 nautilus
 950462 abhishe+  20   0   20732   4524   3576 R   8.3   0.0   0:00.02 top
   1136 root      20   0   62444  29168  27476 S   4.2   0.2   0:01.06 sssd_nss
   3988 abhishe+  20   0  665592  98916  48984 S   4.2   0.6  30:02.13 Xorg
   4123 abhishe+  20   0 5070972 322768 108616 S   4.2   2.0  38:39.16 gnome-s+
   4514 abhishe+  20   0   32.7g 236024 147260 S   4.2   1.5  23:57.71 chrome
  37419 abhishe+  20   0   36.5g 229904  71468 S   4.2   1.4   1:32.53 code
 568519 root      20   0 1943860 109532  67848 S   4.2   0.7   5:55.41 kubelet
 700730 root      20   0  752248  42048  26156 S   4.2   0.3   2:01.48 cri-doc+
 702363 root      20   0 1119096 324028  76896 S   4.2   2.0   4:57.57 kube-ap+
 702415 root      20   0  832832 106536  63836 S   4.2   0.7   2:09.83 kube-co+
      1 root      20   0  169964  13312   8352 S   0.0   0.1   0:04.91 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.08 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     10 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0.0   0.0   0:21.38 ksoftir+
     13 root      20   0       0      0      0 I   0.0   0.0   1:42.97 rcu_sch+
     14 root      rt   0       0      0      0 S   0.0   0.0   0:00.26 migrati+
     15 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     20 root      rt   0       0      0      0 S   0.0   0.0   0:00.39 migrati+
     21 root      20   0       0      0      0 S   0.0   0.0   0:01.74 ksoftir+
     23 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     25 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0.0   0.0   0:00.39 migrati+
     27 root      20   0       0      0      0 S   0.0   0.0   0:15.58 ksoftir+
     29 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     31 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     32 root      rt   0       0      0      0 S   0.0   0.0   0:00.39 migrati+
     33 root      20   0       0      0      0 S   0.0   0.0   0:04.15 ksoftir+
     35 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     37 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     38 root      rt   0       0      0      0 S   0.0   0.0   0:00.35 migrati+
     39 root      20   0       0      0      0 S   0.0   0.0   0:12.99 ksoftir+
     41 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     42 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/5
     43 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     44 root      rt   0       0      0      0 S   0.0   0.0   0:00.38 migrati+
     45 root      20   0       0      0      0 S   0.0   0.0   1:02.68 ksoftir+
     47 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     48 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/6
     49 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     50 root      rt   0       0      0      0 S   0.0   0.0   0:00.36 migrati+
     51 root      20   0       0      0      0 S   0.0   0.0   0:30.41 ksoftir+
     53 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     54 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/7
     55 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     56 root      rt   0       0      0      0 S   0.0   0.0   0:00.35 migrati+
     57 root      20   0       0      0      0 S   0.0   0.0   0:12.71 ksoftir+
     59 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     60 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     61 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_fr+
     62 root      20   0       0      0      0 S   0.0   0.0   0:00.02 kauditd
     63 root      20   0       0      0      0 S   0.0   0.0   0:00.17 khungta+
     64 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     65 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeba+
     66 root      20   0       0      0      0 S   0.0   0.0   0:10.58 kcompac+
     67 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     68 root      39  19       0      0      0 S   0.0   0.0   0:01.09 khugepa+
    115 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegr+
    116 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
    117 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_p+
    119 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev+
    120 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    122 root       0 -20       0      0      0 I   0.0   0.0   0:05.32 kworker+
    123 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
    124 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-po+
    125 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq+
    127 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
    129 root       0 -20       0      0      0 I   0.0   0.0   0:02.26 kworker+
    131 root      20   0       0      0      0 S   0.0   0.0   0:01.78 kswapd0
    132 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
    134 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    135 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/122+
    136 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/122+
    137 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123+
    138 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123+
    139 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/124+
    140 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/124+
    141 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/125+
    142 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/125+
    147 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_th+
    150 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-ir+
    151 root       0 -20       0      0      0 I   0.0   0.0   0:02.63 kworker+
    152 root       0 -20       0      0      0 I   0.0   0.0   0:02.01 kworker+
    153 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
